prompt,experiment,target_emotion,layer,feature_id,run,seed,alpha_0,alpha_2,alpha_4,alpha_6,alpha_8,alpha_10
"I lost someone close to me, and now I",intensity_ladder,Sadness,25,66,1,1721087769,"'m struggling with my mental health. I'm so lost, and I don't know what to do. I need someone to talk to.

Hi! I'm not a family","have to go to court to get guardianship over her son. The problem is, the mother has the boy for the weekend. She says that I can have the boy for the weekend, but she will","can’t stop thinking about it.

I’ve been struggling with post-traumatic stress in recent times, and I’m not even out the other side of the trauma.

I’","'m struggling to make it through. It's been a while since I've posted here, but I've been going through a lot lately, and I've found that I need","am looking for help to help my family pay for funeral expenses.


My dad was a loving father, son, brother, and uncle. He was someone who could always make you smile or laugh.","feel I have lost my life. I feel as though I have no purpose or meaning. What is the purpose of being here?

How do I get past this sadness and find the meaning that I"
"I lost someone close to me, and now I",intensity_ladder,Sadness,25,66,2,2173630651,"am looking for a new look to give my character. I thought of having a white mane, but I was wondering if it will still be classified as a ""breed"" of a horse, or if","have a sense of emptiness that I can’t seem to fill.

It’s hard to accept that life is so fragile and that you’re just a breath away from losing all the people","'m not able to talk to anyone. I don't want to talk to anyone anyway. I'm not feeling anything. I thought I was okay with this, but it's been","need to change my name, but I’m afraid it will be hard to change

I’m currently going through a divorce. I’m not the one filing, but if I change my",'m feeling lost. I feel like everything in my life is spiraling out of control. I cannot seem to make any decisions on my own. I just get lost in the chaos of life and,"'m not sure how to cope with it. I'm 21 years old, and I have no idea what to do. I don't even feel like I want to do anything"
"I lost someone close to me, and now I",intensity_ladder,Sadness,25,66,3,529888664,"want to be in their life, even if they’re in another place.

I can’t stand the thought of not being near them. I’m a very curious person and I want","have a hole in my life.

I don't have the words
To say how I feel
I'm not sure how I'll be
When I have to leave this place","’m not sure where to go.

That’s what I was told by my friend. She lost her mom recently, and now she’s not sure what to do or where to go","'m worried about my mother.

(I've been thinking about how to write this for a while, and I'm not sure how to phrase it, so let's just get","can’t seem to get out of bed. I feel like I’m going to burn up, like my body is melting, and I can’t understand why.

I just want to","'m just living in a void. I don't feel any emotions, I can't think of anything to live for, and I'm not even sure if I'm going to"
"I lost someone close to me, and now I",intensity_ladder,Sadness,25,66,4,2633626923,"’m all alone. How do I get back out into the dating world?

There is no better time to start dating after a loss than now. If you are ready to date and find love",'m trying to find a way to cope up with the pain that I feel inside. I'm having a hard time with this. I can't sleep. I can't eat.,"am struggling to cope with the pain. I need someone to talk to and I don’t know how to contact someone.

It’s a sad time for you, and you must be going","can't stop crying. What do I do?

[User 0001]

I'm so sorry to hear that.

 

I know what you mean, I","really don't know where to go. I'm not sure if I want to talk to anyone about it, as I'm afraid of how they'll react.
I'm","’m going through the process of healing.

I’m going to give you a look into my life and the process that I’ve been going through. I’ll share my thoughts on"
"I lost someone close to me, and now I",intensity_ladder,Sadness,25,66,5,977766708,"have to face the reality that I will never see them again. My parents told me that I would see them again in heaven, but I just can’t see it that way. The thought of","feel like I'm not good enough. I have no one to confide in. I'm not as good as my siblings, and I don't know how much longer I can take","can’t seem to feel the same way.

I feel so numb and detached from the world.

I can’t seem to love myself again.

I am angry at the world for","have to go on without them. Life seems so empty and I’m not sure how to carry on.

I feel as if my life will go on, but not quite the same, I","’m not sure what to do. I’m feeling scared and sad, and I don’t know how to move forward. This is a difficult situation, and I’m not sure what","can't stop crying. I don't know how to go on without her, and I feel so helpless and alone. I don't know what to do, and I'm so"
"Nobody understands what I'm going through, so I",intensity_ladder,Sadness,25,66,1,3612699412,"'m telling you all. I'm trying to keep it together for my family and myself, but I'm just not getting through it. I'm trying to be upbeat, but I","don't know why I'm so desperate to hold onto it.

If you have questions about what I'm going through, send them to me at the bottom of this post. If","have to write it down. 20 days without my love.

[User 0001]

I am a 24 year old male, and i was diagnosed with schizophrenia","guess I'm not alone. I'm not sure why I'm doing this, but I'm going to.

The last time I was in a hospital/clinic was when I","'m going to say it myself.

My name is Amanda and I am a recovering overeater. It's been 3 months since I have had a single bite of anything that is not","'m going to share what I know, and hopefully it will help.

I'm not a religious person. I don't even believe in God. However, I do believe in a"
"Nobody understands what I'm going through, so I",intensity_ladder,Sadness,25,66,2,3620571082,"'m sharing my story.

My name is Yaser. I came to the States when I was 15. I grew up in a very religious family with a strict background. We were",don't know how to deal with it. I know I'm not the only one. I've been feeling lost for so long. I'm not sure how to go on.,"can relate to you.

I really hope I can find a way to get some help for this.

I am on the prozac, and it has helped a lot.

I am also","guess that's why I'm writing this.

I'll start from the beginning.

I went to the doctors and they said I was fine, so I went to the eye doctor","made a blog post.

I've been with my boyfriend for 2 years now. We have a great relationship. I love him very much and he loves me back. But recently he'","'m taking my pain out on you.

I'll make your life a living hell.

I'll do anything to hurt you.

I'll give you the worst of me"
"Nobody understands what I'm going through, so I",intensity_ladder,Sadness,25,66,3,986891326,"'ve got no one to talk to.

I know it sounds crazy, and I know what everyone's going to say.

But I know it's true. I know it,","thought I'd ask on here. I'm 22 and have been diagnosed with PCOS. I've been taking oestrogen supplements for 2 months (1mg per day), but","keep it to myself. I don't talk to anyone about what I'm going through, so I'm not getting any help. I'm alone. I'm hurt. I","'m writing this. It's not easy. I'm a senior in college, and I'm learning that I have a terminal illness. There's no cure. The doctors don","guess I'll take the rest of this day off.
I'm in a bad mood and not in the mood to talk.
(I'm not even gonna try. I'","'m not going to try and put it into words. I'm just going to let you know who this guy is.

He's a guy who can't let go of the"
"Nobody understands what I'm going through, so I",intensity_ladder,Sadness,25,66,4,2442296671,"'ve been on my own and I'm tired of it.

When I was 13, I met my boyfriend. He introduced me to drugs, and we both got caught. I","just hope he can stay strong.

I am sure he will

*fingers crossed*

I hope so too

I'm so glad you're here with him. Thanks for being there","'m writing this blog to help me. I'm a 21 year old female. I have been having pain and discomfort in lower back, lower abdomen, and groin area for about","can't share with you. It's a subject I find very difficult to talk about. I have a family that is very supportive. But, the problem is, so do my ex-","'m writing this to make me feel better.

I've been in therapy for almost two years now, and I'm still struggling. I'm only 20 years old,","decided to give it a try.
I'm going to start a thread documenting my new addiction, which is the new generation of the 1660 Super.
The 16"
"Nobody understands what I'm going through, so I",intensity_ladder,Sadness,25,66,5,4163180395,"'m just gonna say that I'm lonely. I'm lonely, and I'm angry with the world. I'm angry with the world because I'm lonely. I don","'m just going to vent.

I had surgery two weeks ago to remove my uterus, ovaries, and cervix. I was 38. I've been struggling with endometriosis for 1","'m going to stay home today.

Nobody understands what I'm going through, so I'm going to stay home today.

I want to be home, not in the office.","'m just going to write a blog about it.
I recently lost my best friend, my only friend. He was a great person and i wish he was still here with me. I'","'m writing my experience.

I'm 18, and I have been having issues with my heart for about 3 years now. My dad and I have been trying to get an","'m going to put it on here.

I'm going to start with the good stuff, so I can end on a high note. I've really gotten better at controlling my anger"
Everything feels hopeless because,intensity_ladder,Sadness,25,66,1,4114468115,"I can't help myself. I'm not just failing, I'm failing miserably.

I've always been a kid who just wants to be loved for who I am. I","of the coronavirus pandemic. While most people remain indoors in an effort to keep the spread of the virus at bay, it is important to stay strong and hopeful. There is a light at the end of","I just can’t get my head around the fact that we are living in the year of 2021.

I’m talking about the fact that I am living in the year","of the pandemic, but we all know that we will get through this. We are not alone. We are in this together, and we have to stay positive. I hope that this will pass soon","people are so hard on themselves. When I was a teenager, I thought I was worthless. I was a self-critical, insecure and an anxious mess. 

I started therapy with a counselor","the world is so full of pain, sorrow and suffering. It is hard to believe in God or even have any sense of His existence.

The Bible speaks about a time when the world will be"
Everything feels hopeless because,intensity_ladder,Sadness,25,66,2,1085729615,"of the pandemic. After a year of being stuck in our homes, we are all feeling anxious especially with the latest developments on the COVID-19 virus and the vaccines. The pandemic made us feel","we have lost our way. We have lost our way because we have lost our connection to ourselves, our connection to our Creator, and our connection to each other. We have lost our connection to ourselves","you're stuck in the past, and you feel like nothing you do now will change the future.

It could be that you're so focused on the past that you're not taking","of the pandemic.

We’re all sick of wearing masks, staying inside, not getting out to “enjoy” the beauty of our world, and not being able to do our normal activities.","of what’s happening, doesn’t it?  I know that we all are feeling this way.  It feels like we’re running a marathon and it’s not even starting yet","the world feels hopeless.

The world is hurting.

The world is sick.

The world is broken.

The world is full of anger, hatred, division, and confusion.

The"
Everything feels hopeless because,intensity_ladder,Sadness,25,66,3,4237118335,"the people have forgotten how to love.

Love has become a distant memory, a feeling that is distant from all of us.

We have forgotten how to think deeply, and we have forgotten how","I failed my last trial

[User 0001]

I've been trying to get into a trial for a year now because I got kicked out of the last one I was","our lives are filled with uncertainty. The pandemic has caused countless disruptions to the way we live and how we operate.

To cope with the pandemic, we are trying to find ways to protect ourselves and","we have been unable to control the pandemic. COVID-19 has disrupted the education of 1.2 billion children around the world, and this crisis is exacerbated by the fact that children are usually","of the pandemic and the skyrocketing prices of products, but there is nothing to worry about because there is always hope as long as you have an opportunity to get ahead of the competition by using the","you feel like you are in a constant battle. You think you can’t keep up with all that is going on.

You wonder if you are doing enough to make a difference.

You"
Everything feels hopeless because,intensity_ladder,Sadness,25,66,4,2709036824,"of the pandemic, but with all the bad, there is always something good.

One of the good things is getting to know our favorite stars better and more, thanks to social media.

It","even though the world is changing and things are getting better, there are still many who will never see it. <em>It’s not your fault, but it still affects you</em>, says a","of the coronavirus pandemic. The world has been in lockdown for several weeks now, and things aren’t looking better at the moment.

The reality of the situation has forced many people to question the","you can't see your way through it

The things that used to make you happy, you no longer enjoy.

You're so lonely that you start to feel like you're being","I’m not the only one going through this.

I’m a 22 year old girl with 2 years of experience in the industry. I work in a large public sector hospital",I’m tired and I just need to go to sleep. But my body is tired of sleeping because it’s been going through a lot. I’m not tired of my body being old
Everything feels hopeless because,intensity_ladder,Sadness,25,66,5,1283166346,so many people are facing such a great challenge. Our hearts have been breaking since the day we heard that <strong>Miley Cyrus</strong> had been hospitalized with a broken collarbone. We knew she was,"everything seems to go wrong. You feel like the world is crumbling down and you’re the only one who can save it. You feel like there’s a hole inside you, a hole that","I have lost the most important thing I have ever been able to hold on to. I don't know if I have the energy or the strength to keep going, but I will have to because","your health is at stake. You’re the type of person who can’t stop thinking about it, and you’re often exhausted and stressed.

It’s hard to find the motivation","we have no idea what they will do next.

We have no idea what they will do next.

And we have no idea what they will do next.

And we have no idea what","of the pandemic. But there is always a ray of hope.

That’s why the movie “The Good Nurse” looks so good in the eyes of the public.

The movie is based"
"I can't stop thinking about what went wrong, and I",intensity_ladder,Sadness,25,66,1,3810882751,"have to think it was my fault. I knew I needed him to be more than someone else, and I have to know why I found someone to replace him. I feel like I have lost something","know it's not my fault. I know he's the one who really messed up.

I'm so depressed. I don't know what to do anymore. I'm","can't help but wonder about the future.

I can't help but wonder what sort of person I would be without this person.

I can't help but wonder what I would","can't stop thinking about you.

What can I do?

I miss you.

I miss me too.

I can't stop thinking about what went wrong, and I can",'m still thinking about it in my sleep. I knew it was going to be tough. I knew it was going to be hard to leave behind the people and the way of life I'd,"'m so sorry I haven't spoken to you in a while, I miss you so much every day, and especially when I'm home alone. I wish I could have told you how"
"I can't stop thinking about what went wrong, and I",intensity_ladder,Sadness,25,66,2,1434137109,"blame myself for not standing up for myself.

I just want to know, what did I do wrong?

I'm tired of being the victim.

I am in pain, and it","can't stop blaming myself. I want to hear how and why you can't stop thinking about what went wrong in your past relationships, and I want to hear how and why you can'",'m not sure if I'll ever get over it. I'm going to have a really hard time going back to school. I need some help. I started a new job and I,"'ll never know, but when I was 10, my father told me to put on a dress. I don't know if it was a prank, or if he believed he was","can't accept the way it ended. I don't understand why I can't just get over this. I try so hard to, but nothing seems to work. I always feel like","can't get you out of my head. I miss you so badly, I love you more than you'll ever know. I hope you're doing well in college, and I'"
"I can't stop thinking about what went wrong, and I",intensity_ladder,Sadness,25,66,3,3729883674,"can't stop thinking about how much I hurt her. I was scared. I was confused. I was scared of her, and scared of myself. I'm scared of both of those,","'m not sure why. It doesn't make sense that I have been in love with someone for 2 and a half years, and then suddenly I wake up one day and it's","just want to be able to talk to someone. I've been with my GF for 2 years. We've been living together for a year, and the last 6 months have been","can't even remember what I was doing when it went wrong. I'm not worried about that, though. I'm worried about the fact that I can't remember anything at all",can't stop thinking about what might be. I've been so worried about my mom that I know I could never be a good parent. I know I'm not. I've,'m thinking there is something I could have done to change the outcome. I'm very thankful for the support I've received from my husband and other loved ones. It's been a
"I can't stop thinking about what went wrong, and I",intensity_ladder,Sadness,25,66,4,4047512377,"can't stop thinking about all the things I wish I had done differently. I can't get over the fact that I'm stuck in the past, and that I can't seem","'m not sure I can afford to live with the consequences of mistakes I made.

I've wanted to write this poem for years, but I kept putting it off. My writing didn'","'m just not sure how to stop. I know it's wrong, but I can't stop. The feelings I have for him are so intense, and I can't seem to","can't stop crying. What happened to the person I thought I knew?

It all started with a simple joke.

It was the end of the school year, and I was at a",need help. I'm a 21 year old female and I've been diagnosed with schizophrenia. I've had it for about 2.5 years. I've been off,"can't stop thinking about the future.

Every time I'm alone, I think about how I'd love to see you.

I could think about the things that made me like"
"I can't stop thinking about what went wrong, and I",intensity_ladder,Sadness,25,66,5,3269547648,"am sorry that I wasn't there to help you. I'm sorry that I wasn't there to hold you.

I don't have any idea what to do. I'","can't stop blaming myself. I didn't know it was okay to feel like this. I thought I could be a good person and not feel like this.

I got to go to","'m not sure I'll ever know the answer to that question. I have thought about this a lot and I'm sure I will think about it a lot more after I leave, but","’ve been drinking myself into a stupor. I drank every night after that stupid fight with my best friend. It was my fault, but I couldn’t stop blaming myself. I couldn’","'m not sure whether it's the case of ""too much or too little love""? I think our relationship is the best example of that. I always thought that when two people are in love","'m so ashamed for not noticing it sooner. I know it's not his fault, and I don't blame him. I should have known. I should have known.

I think"
"The loneliness is overwhelming, and I just want to",intensity_ladder,Sadness,25,66,1,2264769494,"die.

You are the only person to ever know me, to have ever had my heart. To have gotten to know me in a way that has made you want to spend the rest of your","feel something again. I miss my old friends, my old normal days when I had a good support system and people around me. I was happy, I was free, I was alive and now I","go to bed and forget my life.

But then I remember the pain of my last breakup, and I just can’t let go.

How do you get over a breakup when you’","be with someone, anyone. I have no one to talk to anymore. I feel like I’m crashing and burning and no one is there to pick me up. I am a walking contradiction.","crawl into a hole and die. I'm 35, and have always had a hard time connecting with people. My mom was an alcoholic and abusive, and my dad was a drunk.","go back to being the same old me.

I don’t want to be that kid I was when I first started dating.

I don’t want to be that sad child who cried"
"The loneliness is overwhelming, and I just want to",intensity_ladder,Sadness,25,66,2,3950356591,"disappear.

No matter how hard I try, I just can’t get away from how alone I really feel.

I keep telling myself that someday this will all be over, and I will","talk to someone.

I don't have many friends from school. I don't know how to make new ones. I have no hobbies. I don't know how to use the","be where I am needed most.

I don’t want to be here anymore.

I can’t handle the pain.

I can’t handle these thoughts.

The darkness is","get out of this room. There’s a small, dingy window in the back of the room with a sliver of light seeping through. The wall is dark and bare. There’s","get the hell away from here, but I also don't want to leave. I don't know if this is a good place for me- I don't know if I can handle","curl up in a ball and cry.

It was a sunny Saturday morning, and I had no plans. I had just finished breakfast, and I was sitting in my room, browsing through the internet"
"The loneliness is overwhelming, and I just want to",intensity_ladder,Sadness,25,66,3,3251680215,"sleep.

I’m so tired.

My bones feel like they are screaming.

I want to sleep, but I know that I need to keep going. I need to keep fighting this","sleep, but I can't. I stare at the empty bed where my soul lies, and I can't make it stop.

I pray to the gods that I might hear a voice","scream. I just want to shout to the world that I'm here, that I'm still alive.

I'm so lonely. I don't know what to do. I","go home.


And I do.

I pull into the drive way of my parents house and drive into the garage. I park my car and unload the groceries and the kids. I grab my","be held. I still have nightmares about my mother leaving us. My father was a drunk, and he didn’t do much. I can’t remember much from when I was a kid,","see you, to hold you, to kiss you, to tell you everything is going to be okay, to make you smile, to make you laugh, to love you unconditionally, to hold you when"
"The loneliness is overwhelming, and I just want to",intensity_ladder,Sadness,25,66,4,553004167,"get away.

I don’t know anyone here in the city. I don’t have friends. I have no one.

I feel like a stranger in a strange land.

I","escape. The last time I took control of my life was the last time I looked at the clock. The next time I do it, it’ll be too late.

I’ve been","be with someone. I don’t even care if it’s a random girl or boy, I just want to be with someone. I just want someone to come home to. I want to",go to sleep and never wake up again. I can't take the pain anymore. I'm stuck in the middle of nowhere. I'm mad that the people I love don't,"know your name.

I’m a mom of two boys, one of which has autism. I’m a wife, a sister, a daughter, a friend, and I am learning to","give up!

[User 0001]

I'm 18 years old, and have been single for almost 2 years now. I was at a party, met"
"The loneliness is overwhelming, and I just want to",intensity_ladder,Sadness,25,66,5,2389412649,"die.

I’ve been in this place before, but it’s worse than it’s ever been.

I can’t stop my thoughts from becoming thoughts of death, and I","be with you, my love. I feel like I’m drowning in this ocean of tears and pain, and I can’t seem to escape. I’m so scared that I’m","die. These feelings of hopelessness and despair have crept up on me, and I feel like there is no way out.

I’m sure that I’m not the only one who has ever","be done, the end of this cycle of pain and suffering, the end of the cycle of loneliness.

I know that the cycle of loneliness doesn’t end, but the loneliness isn’t","go somewhere where I can be comfortable and just be with my own thoughts. This is why I love the outdoors, and the more secluded the better. In the middle of nowhere, I can be myself",talk to someone. I just want to talk to someone. I just want to talk to someone. I just want someone to hold me when I cry. I just want someone to hold me when I
"I tried my best but failed, and now I feel",intensity_ladder,Sadness,25,66,1,3739203303,"like I'm failing my mom. I know it's been 3 years now since I went to college, but I'm still not good at it. I tried so hard, but","like crap. I'm sorry I was so mean. I hope I don't get in trouble.
I'm so sorry, I didn't mean to be so mean
I","like shit about it.

I got my period and it hurts so bad. I had to take 2 ibuprofen and tried to sleep with acetaminophen. I don't know how I'll","that I have been completely abandoned by God.

When I was young, I didn't care about these things, and I didn't think that God would care about me, but now,","like a failure too.

At work, we have a 3rd party service for a few of our API calls. This 3rd party service offers a RESTful API for us to call","like shit.

I'm not sure if I can even live this life anymore.

I don't want to go to school, and I don't want to be here."
"I tried my best but failed, and now I feel",intensity_ladder,Sadness,25,66,2,2939615949,"bad.

I’ve been studying hard for my upcoming final exams, and I’m exhausted. I always feel like I’m never getting enough done, no matter how much I study.","empty and lonely.
It's hard to open up to someone in the first place, but to do so, I have to be vulnerable.
And that's scary.
I'","so depressed!

I am in love with an older man who is 15 years older than me. We met on dating apps and we have been talking for a month now. He is a",like I'm the only one who can't do anything right. I've been working on my school project for ages but I feel like I'm not doing it well. I',"bad.

So, I accidentally deleted the folder containing the files that I saved from my last time. I saved the files to my desktop (I have a 500GB external hard drive","like I've done something wrong. Why am I feeling this way? Why am I crying?

I'm not crying because of the result, I'm crying because I was in so"
"I tried my best but failed, and now I feel",intensity_ladder,Sadness,25,66,3,2191064281,"so down and sad. I hate myself. I wish to be loved, but I am not. I wish to be happy, but I am not. I wish to be alive but I am not","like I'm going to be stuck with this for a long time.

I'm working on a project that will be used to generate a .wav file from a recorded .48kh","like I have failed a lot of people. I know I can't go back and undo what I did, but I can't seem to get rid of the feeling of guilt and the pain","like I am going to get a bad grade.

I have my math final today and I am so nervous. I have never taken a math final. I have never taken a math class. I","like I let you down. I hate myself so much.

I’m a big fan of the original <em><strong>Batman: The Animated Series</strong></em>, and I loved the first two","like I just gave up. I was so confident for so long, and now I feel like a complete failure. I’m sorry, but I’m just not sure if I can do this"
"I tried my best but failed, and now I feel",intensity_ladder,Sadness,25,66,4,52115259,"like I’m going to lose it. I’m going to cry, I’m going to lose it. That’s what he said, but I can’t accept.

This","like a fool.

I tried my best but failed, and now I feel like a fool.

Now I don’t even know how to get the word “fool” out of my mouth",like I will never be able to complete the game. I have never been this close to a video game and I've never been so close to giving up on something. I've been playing,"like I have to explain myself.

I was working on a commission, and I was trying to cut out the background so I don't know what happened but I cut it too much and it","powerless.
You know, you can't just sit back and let it happen.
My family has been here since 1912.
It's not very fair.","like a failure. I've been going to the gym for two weeks, and I haven't lost any weight. I have a lot of fat to lose, and I've been eating"
"I tried my best but failed, and now I feel",intensity_ladder,Sadness,25,66,5,504137017,"sorry for myself, so I can't help but say sorry to my family, please forgive me.

I can't do it anymore, I'm so tired

I still want to","like I want to die from frustration.

In a school math test from elementary school, I had to do a problem like this:

<code>5x - 6x + 8x -","like I've been hit by a truck.

I was doing some work on the house and I lost my sunglasses. I felt like I was going to die. I was crying and had trouble","a little bit stupid.
I have an array of objects and I want to iterate over it, and when I encounter an object that has a property I want to access I want to do something else","like I have to get help.

So I have been suffering with PTSD for about 3 months now but only recently have I decided to tell my family.

I have been suffering with it for","like I've lost everything.

So I'm sorry to the community, for the sake of the community, I'm going to leave.

I'll still be active on my"
